Genome	D300242.digesta_deep Covered Bases	D300243.digesta_deep Covered Bases	D300244.digesta_deep Covered Bases	D300245.digesta_deep Covered Bases	D300246.digesta_deep Covered Bases	D300247.digesta_deep Covered Bases	D300248.digesta_deep Covered Bases	D300249.digesta_deep Covered Bases	D300250.digesta_deep Covered Bases	D300251.digesta_deep Covered Bases	D300252.digesta_deep Covered Bases	D300253.digesta_deep Covered Bases	D300254.digesta_deep Covered Bases	D300255.digesta_deep Covered Bases	D300256.digesta_deep Covered Bases	D300257.digesta_deep Covered Bases	D300258.digesta_deep Covered Bases	D300259.digesta_deep Covered Bases	D300260.digesta_deep Covered Bases	D300261.digesta_deep Covered Bases	D300262.digesta_deep Covered Bases	D300263.digesta_deep Covered Bases	D300264.digesta_deep Covered Bases	D300265.digesta_deep Covered Bases	D300271.faeces_shallow Covered Bases	D300272.faeces_shallow Covered Bases	D300273.faeces_shallow Covered Bases	D300274.faeces_shallow Covered Bases	D300275.faeces_shallow Covered Bases	D300276.faeces_shallow Covered Bases	D300277.faeces_shallow Covered Bases	D300278.faeces_shallow Covered Bases	D300279.faeces_shallow Covered Bases	D300280.faeces_shallow Covered Bases	D300281.faeces_shallow Covered Bases	D300282.faeces_shallow Covered Bases	D300283.faeces_shallow Covered Bases	D300284.faeces_shallow Covered Bases	D300285.faeces_shallow Covered Bases	D300286.faeces_shallow Covered Bases	D300287.faeces_shallow Covered Bases	D300288.faeces_shallow Covered Bases	D300289.faeces_shallow Covered Bases	D300290.faeces_shallow Covered Bases	D300291.faeces_shallow Covered Bases	D300292.faeces_shallow Covered Bases	D300293.faeces_shallow Covered Bases	D300294.faeces_shallow Covered Bases	D300295.faeces_shallow Covered Bases	D300296.faeces_shallow Covered Bases	D300297.faeces_shallow Covered Bases	D300298.faeces_shallow Covered Bases	D300299.faeces_shallow Covered Bases	D300300.faeces_shallow Covered Bases	D300301.faeces_shallow Covered Bases	D300302.faeces_shallow Covered Bases	D300303.faeces_shallow Covered Bases	D300304.faeces_shallow Covered Bases	D300305.faeces_shallow Covered Bases	D300306.faeces_shallow Covered Bases	D300307.faeces_shallow Covered Bases	D300308.faeces_shallow Covered Bases	D300309.faeces_shallow Covered Bases	D300310.faeces_shallow Covered Bases	D300311.faeces_shallow Covered Bases	D300312.faeces_shallow Covered Bases	D300313.faeces_shallow Covered Bases	D300314.faeces_shallow Covered Bases	D300315.faeces_shallow Covered Bases	D300316.faeces_shallow Covered Bases	D300317.faeces_shallow Covered Bases	D300318.faeces_shallow Covered Bases	D300319.faeces_shallow Covered Bases	D300320.faeces_shallow Covered Bases	D300321.faeces_shallow Covered Bases	D300322.faeces_shallow Covered Bases	D300323.faeces_shallow Covered Bases	D300324.faeces_shallow Covered Bases	D300325.faeces_shallow Covered Bases	D300326.faeces_shallow Covered Bases	D300327.faeces_shallow Covered Bases	D300328.faeces_shallow Covered Bases	D300329.faeces_shallow Covered Bases	D300330.faeces_shallow Covered Bases	D300331.faeces_shallow Covered Bases	D300332.faeces_shallow Covered Bases	D300333.faeces_shallow Covered Bases	D300334.faeces_shallow Covered Bases	D300335.faeces_shallow Covered Bases	D300336.faeces_shallow Covered Bases	D300337.faeces_shallow Covered Bases	D300338.faeces_shallow Covered Bases	D300339.faeces_shallow Covered Bases	D300340.faeces_shallow Covered Bases	D300341.faeces_shallow Covered Bases	D300342.faeces_shallow Covered Bases	D300343.faeces_shallow Covered Bases	D300344.faeces_shallow Covered Bases	D300345.faeces_shallow Covered Bases	D300346.faeces_shallow Covered Bases	D300347.faeces_shallow Covered Bases	D300348.faeces_shallow Covered Bases	D300349.faeces_shallow Covered Bases	D300350.faeces_shallow Covered Bases	D300351.faeces_shallow Covered Bases	D300352.faeces_shallow Covered Bases	D300353.faeces_shallow Covered Bases	D300354.faeces_shallow Covered Bases	D300355.faeces_shallow Covered Bases	D300356.faeces_shallow Covered Bases	D300357.faeces_shallow Covered Bases	D300358.faeces_shallow Covered Bases	D300359.faeces_shallow Covered Bases	D300360.faeces_shallow Covered Bases	D300361.faeces_shallow Covered Bases	D300362.faeces_shallow Covered Bases	D300363.faeces_shallow Covered Bases	D300364.faeces_shallow Covered Bases	D300365.faeces_shallow Covered Bases	D300366.faeces_shallow Covered Bases	D300367.faeces_shallow Covered Bases	D300368.faeces_shallow Covered Bases	D300369.faeces_shallow Covered Bases	D300370.faeces_shallow Covered Bases	D300371.faeces_shallow Covered Bases	D300372.faeces_shallow Covered Bases	D300373.faeces_shallow Covered Bases	D300374.faeces_shallow Covered Bases	D300375.faeces_shallow Covered Bases	D300376.faeces_shallow Covered Bases	D300377.faeces_shallow Covered Bases	D300378.faeces_shallow Covered Bases	D300379.faeces_shallow Covered Bases	D300380.faeces_shallow Covered Bases	D300381.faeces_shallow Covered Bases	D300382.faeces_shallow Covered Bases	D300383.faeces_shallow Covered Bases	D300384.faeces_shallow Covered Bases	D300385.faeces_shallow Covered Bases	D300386.faeces_shallow Covered Bases	D300387.faeces_shallow Covered Bases	D300388.faeces_shallow Covered Bases	D300389.faeces_shallow Covered Bases	D300390.faeces_shallow Covered Bases	D300391.faeces_shallow Covered Bases	D300392.faeces_shallow Covered Bases	D300393.faeces_shallow Covered Bases
TJ1:bin_000260	647292	2091768	2079082	2136872	277239	1712427	1745665	1418802	1086681	394319	1885134	744805	1874449	1708928	1034667	2106085	1556275	188551	55945	210912	2157355	1787658	2037964	49548	38795	0	131979	0	130111	0	451546	5922	13016	5972	554982	246305	4943	136417	8686	363423	4728	1356501	706711	1048279	420261	9503	1100305	238441	74678	231657	22904	420244	965959	812010	999303	324204	804926	439702	403007	229451	303643	182564	60773	351222	122947	36990	488520	881939	186237	799083	169722	420572	88046	229124	139726	372126	336929	690497	23863	301442	22641	778330	224310	438450	33856	89544	423369	212905	61836	18781	284652	135208	60282	1245126	155321	1240266	4575	19195	470086	297173	176521	48946	183825	403575	2069370	473616	75086	200965	1516953	3394	298788	45454	1264832	25122	139821	427224	456628	44723	545972	247493	1017289	418097	6753	12238	14440	118430	26920	100696	147329	253784	114409	583976	555345	522458	346246	773155	180221	1267994	205987	307253	62544	32943	5516	209194	1047793	1573	3386
TJ1:bin_000267	1518104	2089327	1933318	1708111	837116	1678364	1849302	1802634	2019206	2029567	1394263	1456809	1696523	1345378	1816839	674795	1989665	1318007	1748157	1643673	2061656	1537787	1100918	966077	468935	0	79417	0	680230	0	144614	4945	308478	26869	73575	681176	275562	154940	179401	6508	69133	68944	279288	1207772	1320870	308419	385871	7059	311496	49158	792055	1463110	1362505	139658	145551	1873134	427022	1794318	798349	614763	851522	374528	700730	364580	293004	149678	227070	510397	639541	535109	128753	194117	239656	5933	120379	78809	160049	313175	182441	183355	194507	226309	276219	113050	248409	211563	154661	135396	139474	264957	158136	101800	423794	88277	181827	335020	36182	211489	27927	1178190	901404	143003	179646	241919	36173	203087	262456	234436	208588	59631	245013	575628	59990	532785	257373	99891	75538	520868	106353	86730	429463	70477	441732	643795	233759	285242	250226	218638	174176	167611	99395	506343	179938	164554	180659	97382	70067	324391	73848	116972	199205	233934	176322	441989	43022	562	0
TJ1:bin_000269	588667	787967	865359	331575	841739	208504	757189	904170	753706	867716	691124	779877	240476	536715	764583	734028	878096	786320	593958	874286	872611	753603	468677	650438	602559	0	257	0	4018	0	8848	0	71684	282	20520	12925	3856	37794	25426	193	116698	7977	750848	36062	17360	41537	663	3227	0	3618	346	31315	4197	66511	2430	9170	277652	8780	100731	1360	182428	246179	70376	319247	154624	142175	64583	74521	3561	13144	114280	234025	61300	9152	4854	1851	272432	27105	50155	31228	55709	128743	261255	32522	272104	182837	86144	18885	122589	76121	28313	20937	433264	2148	14486	22850	1110	29924	32533	40066	4731	24839	2114	125938	30953	5458	89056	5491	82298	3564	19106	111919	18515	133948	29211	3307	58551	104230	88645	70348	46191	51343	167760	268	50489	75895	262817	150701	68920	177649	2991	37130	42713	72732	30186	188850	162555	26255	89446	19932	26271	27820	48511	2859	1936	300	0
TJ1:bin_000276	47707	339629	500967	96695	31530	63145	90033	205094	29525	24141	72855	20425	73827	179902	44931	154114	42651	22091	12866	21408	165914	113565	2669216	23854	20921	0	27656	0	7590	0	47495	36416	3977	4045	123219	49911	1269	2860	1221	51678	4761	54640	80936	283772	38377	3322	34864	34781	4386	5362	57928	25173	50808	23288	10474	135127	18608	72172	10499	6762	7811	4796	6205	361247	4781	30046	6971	16004	8937	376997	4099	15537	4108	27775	20567	11632	24079	11662	3284	11798	3058	32091	9763	11287	3160	5496	27232	15224	8381	2981	4212	7331	6548	31949	9082	5174	150760	3510	65090	17277	6232	3951	2734	8801	86119	2515	4451	28776	13771	732	61633	5399	663375	5690	9180	11728	14154	6407	7740	15719	30799	2200	3951	2081	4241	3090	3775	4107	5620	12173	2490	7018	11535	53076	10528	12717	25264	26676	6626	5697	5717	1784	4103	8382	57641	0	1252
TJ1:bin_000278	1520880	1807393	2016211	631256	1688801	1484860	1581324	1806979	1603839	1237987	1385059	755647	864066	1403584	1655385	1261688	1591964	982709	652994	1141785	1478936	1409773	742209	1122282	846269	0	13311	0	6656	0	9960	6193	156557	31519	8776	7186	61599	131654	48373	19024	175571	41857	12547	22208	35163	204593	13148	37193	201004	47325	68331	151594	17678	38721	72940	30897	345645	24004	296550	401022	386185	344260	446284	513024	169638	128076	119057	268803	211595	13997	169584	234130	116292	7589	20976	154078	296854	203740	158211	213349	91198	208794	472052	144805	205369	336485	262612	121462	381518	203021	91888	141976	235102	69738	209346	21089	17404	182437	77805	133723	265586	90616	161949	174992	63070	50545	136190	9962	304934	56783	145348	404256	83146	285748	306401	109537	163657	311685	182406	58232	320929	68103	150718	49592	149492	123104	122398	114453	141850	138419	106489	124891	140343	143276	79426	193800	124928	131400	162615	114343	121925	96498	89686	232070	9090	1026	1423
TJ1:bin_000280	96902	1203155	225466	81574	67511	728110	133273	365084	104390	136585	139194	115575	602750	102443	97240	740802	432177	70779	49865	90169	361134	99900	118619	89532	77928	0	11600	0	5762	0	12733	10498	10125	532	12056	28694	5014	21368	10649	10843	13156	23943	10906	28132	20961	14891	8047	9148	2403	3598	2088	13398	8457	20362	9042	17616	166417	11889	26113	16637	14042	24625	20246	52795	16663	21969	23813	24651	15090	25580	13355	20105	17985	10016	17531	14996	92764	16322	11741	30558	7657	58050	37015	52651	16827	17357	17731	48512	22827	9459	21212	32187	15091	40607	13628	7134	2943	12625	4634	9177	7450	8545	3114	37171	24416	33317	16022	11938	23510	2516	13832	30648	18172	23994	88596	9108	11396	8835	5868	9026	14859	14516	8796	882	7939	16959	8475	16659	53869	23749	14582	51025	22818	21039	87807	22618	17589	22251	10563	49425	15008	7390	11877	9519	12106	121	276
TJ1:bin_000282	929318	155937	631393	498127	857826	642239	246445	634048	781157	924083	534057	882665	732087	671170	769862	840593	549683	797975	348176	813627	660685	521320	98493	844990	617831	0	6360	0	13918	0	7991	929	106252	1290	9038	11321	125635	70683	79701	2762	126062	6606	17864	9951	8479	72428	4189	5325	15838	21811	10485	83956	20657	28176	8385	22249	316901	11345	79933	19334	25120	224936	35331	38166	153244	84663	125021	19186	21641	7245	152702	91532	97752	24825	18751	16840	136850	86844	63935	132462	89286	13707	90100	55047	81707	144665	49290	13291	435645	65423	49902	68133	143973	11604	41659	5814	6238	86698	18079	13645	14019	62051	27679	116580	12243	38059	116556	21571	30444	7478	25167	96177	17506	233394	134461	5706	30931	108777	19784	20901	18495	64476	78968	17142	69486	69489	114333	200983	43896	39005	63981	9409	15320	42130	11895	18657	19443	83740	34753	58438	62769	44850	222414	16498	15410	577	450
TJ1:bin_000285	2225885	1194953	2037702	1728015	2363448	2457030	2590049	1685838	1763299	2286673	2315022	2704991	2344236	2134219	2472068	1844685	2432660	2413705	2431564	2367736	2704148	2326393	1377014	2475036	1434041	106	284903	0	20220	0	307354	25066	402099	30378	200601	226080	46337	208146	71895	176112	181860	41012	173353	33951	367567	79332	163999	240287	39094	141340	81670	56354	256103	582808	1313	79376	1142952	164761	326369	411925	654484	249839	424512	44507	185508	53075	293078	57443	131508	391295	80507	931758	169799	607011	28203	22776	125134	302641	50188	26993	165342	224398	432764	283291	219163	29165	380336	179066	262904	157919	73590	64443	113183	22601	66678	5276	19470	91182	210986	94480	139929	292662	131542	413344	288931	421495	274328	325242	616766	15031	74251	645154	125211	324806	603189	16511	280248	331888	185318	121420	197569	342736	52505	120225	231329	223345	52398	273184	28391	62600	6084	68681	402593	225934	7802	401869	20036	249059	353688	398136	140435	160856	29658	55925	523442	389	3409
TJ1:bin_000289	618438	326581	415683	703894	816166	816974	370612	842357	462920	644821	730185	759755	638449	318321	682493	254731	645261	508988	557753	667347	747038	201752	20148	667529	847908	90	4436	90	25662	87	19723	0	128795	1093	155447	180499	114044	88169	139217	1580	74171	13563	60678	74251	151010	167715	192789	486877	442725	8905	1570	78130	64979	107261	139498	18800	190016	32291	130220	210485	187507	231509	131088	332505	98699	100336	129443	43692	89921	49422	133050	92714	170242	1618	74974	121314	153653	57689	187447	233300	148387	164053	235968	90844	106078	113104	141261	57987	146438	70024	224492	70942	199787	69744	95694	23323	2704	137590	239796	73888	247998	78887	80278	144431	56491	95216	92682	40317	93729	18894	102587	220587	57660	147297	168190	96119	38218	123956	100941	58064	103539	82933	379643	426355	145519	238503	122952	118563	94279	69250	258124	81316	84644	55670	34786	58398	51278	91438	38797	54906	136334	60050	89566	61289	63961	161	22447
TJ1:bin_000290	29355	44181	43033	14505	25148	267617	960331	1075459	22948	40181	23418	24113	21799	23103	31642	34971	30239	12968	12018	35936	1113602	20024	416109	24976	25087	0	0	0	1133	0	3586	0	6728	647	5668	1270	450	20444	3752	0	17235	589105	9755	295439	3956	2710	127	150	178	93	397	3668	3678	10863	150	230382	274977	1575	211891	712	617412	17964	3201	913230	12112	5127	76614	38925	2013	4853	1746	308940	3787	148	0	1149	4878	5134	4570	6511	16343	998336	122187	52662	6176	4529	99889	817441	13747	4358	3933	3495	7805	347	1781	300	266	3609	38809	4727	527	5354	102	6374	7607	285615	4556	517	301533	150	1752	875614	171860	52950	138463	0	9556	62152	823	5683	452921	29839	3368	0	4000	149356	2051	79871	2926	23199	1280	87417	477452	312493	4322	6201	3220	4176	3008	161411	34105	11029	1362	1199	148	173	0
TJ1:bin_000296	589910	1008537	1242003	785091	21305	403060	1102373	1093664	1318183	1123855	866638	255285	270150	947778	50279	123236	1331377	188979	37066	552871	1146317	1386190	1331961	130223	19127	0	1379	0	992	0	985	4571	6743	0	3221	923	4176	60329	28707	1073	2896	110616	585	521	13513	157857	447	4142	8830	5005	1114	4063	13563	5858	15825	1516	281328	2078	47984	7521	17844	134175	5871	12573	67319	8246	20077	12023	2302	4767	60794	554406	11977	1335	4380	4539	21278	55141	7407	467041	18634	26407	677480	24350	187025	28441	28403	30958	6161	7144	141155	15093	4983	1867	6077	7207	1436	3559	6594	8351	3865	4789	1793	32865	2513	11409	7588	1810	9607	658	7253	118849	11100	416362	24965	4610	19055	5461	54123	20386	4672	53328	3135	5669	4062	198185	2820	27687	5412	127347	12578	4001	16043	34135	6131	5310	414181	210095	28251	32125	28070	7358	9512	9613	2491	0	0
TJ1:bin_000297	1013755	498265	522932	1670600	192074	1527238	577296	753715	102434	74211	1002546	769793	1421513	957581	1186071	1200927	708778	258513	14351	717593	276111	1230211	286821	40988	1446403	0	229871	0	410949	0	719280	272074	1713	24690	144743	405941	3215	138326	13347	694707	5032	121647	451895	103429	131194	2210	298400	540957	11697	10926	689818	798397	306260	145799	440050	318464	162752	81528	223521	1774	3360	183036	2282	93191	267188	124879	184890	94005	25504	171753	400316	58149	158881	1580572	95896	300021	313418	158474	174387	818232	102960	75381	225088	193949	3461	144710	188739	18290	928798	9652	132601	209625	112846	1267	112829	301513	175838	280013	56755	15285	2558	71112	82054	194450	89946	52220	88193	472347	22642	579	112812	81205	41399	243023	306526	20868	230203	11251	160077	106829	35925	163211	5929	3623	127523	74743	18808	205267	243849	39766	203895	249216	125563	101964	4596	120360	158158	218689	180558	78097	189654	47460	5153	410589	24861	816	4036
TJ1:bin_000298	507687	402407	631555	297678	49972	1063396	1420204	973508	79178	158385	1595820	106939	1535457	349414	342054	1212442	178626	39193	27179	126868	1729279	1185838	1813633	36436	51322	99	20585	97	17459	99	136175	11385	10437	4152	82834	115384	4174	66214	7920	31984	26000	293154	109147	111438	78589	14432	8648	92464	11369	17961	18730	41854	114762	47756	24036	126693	305372	75324	113350	38803	37618	34721	22880	591671	61885	65978	123182	84556	56135	247230	15649	59818	28409	22257	251571	124136	45561	141408	16457	70290	9633	561200	56603	274372	11696	80087	129316	177048	25868	17023	19816	20913	19602	16354	109260	62141	72871	26226	411228	83839	20441	31776	15304	31197	704389	23231	65010	125648	156632	742	49355	40547	244490	29138	81255	34402	170835	52399	86871	82714	130038	26016	7839	7078	13600	28260	10296	33301	74844	37074	7196	101961	159120	559397	55479	217486	67118	99407	37088	184668	51203	25756	5807	46351	75912	1269	349
TJ1:bin_000299	251130	709030	811329	66982	99269	177375	388736	409579	130101	326227	321691	418592	529477	117113	80901	247851	104475	62925	29495	118926	146515	381998	602620	194430	44987	0	1863	0	984	0	3138	341	22943	300	5945	3174	3969	10340	6899	712	10197	6041	6261	8336	5867	7990	2084	4258	4019	2161	1198	7151	6167	92462	6189	6467	50769	3003	13894	8064	7115	58461	8375	15838	7352	46259	37091	7402	5240	8015	5636	33378	9000	1057	5590	5097	8850	20723	14513	14402	5959	14905	55902	39458	11580	6272	55860	35183	75502	6140	9223	10750	9520	6070	7346	4285	650	9675	4952	4831	1968	10518	2243	10611	11162	8016	5806	1991	19735	3719	10248	55478	52518	18236	19343	7595	6284	11165	4241	7007	81835	11812	5182	2346	9736	10993	5025	45653	11287	94533	4345	10021	71111	14425	9256	20112	25209	8698	10557	21627	7167	12923	3027	8821	846	0	0
TJ1:bin_000301	1382219	1262578	939632	1143905	509834	1976073	1549030	2119302	1476494	2087526	652705	501027	856415	1028885	2006223	883015	1339525	933944	473472	1619934	1352387	2063728	161419	387126	1416686	0	3845	0	1466	99	1713	1672	183817	2743	3627	4256	56093	113803	98575	3952	63646	8990	1830	39590	20118	204641	4079	24803	88359	71548	2271	84250	78270	49747	37387	64745	1124964	2886	336359	394438	385981	279516	553183	88224	117478	62395	225507	50434	137233	7790	230175	361820	803116	1802	331572	301680	218388	34072	154131	106406	104455	200327	488170	178783	249417	74367	928691	109460	94952	154901	99691	410074	366606	19456	137373	28084	1334	408628	144899	10868	121915	64487	997668	142321	122563	257737	1080048	2500	247014	57300	254454	242712	17138	132479	273103	174881	552831	302569	119793	140661	127063	219941	88109	102796	237760	474865	541732	232997	57900	43036	156763	99294	183179	278194	16746	1235569	285717	134118	719606	929086	245379	207567	110680	318398	42279	965	143
TJ1:bin_000302	881663	812355	675013	785941	673813	882931	488624	438509	464305	811994	877756	810843	721404	553629	791544	800029	973514	693594	603576	834294	502829	538467	733042	502760	913837	0	23525	0	116275	0	48832	1092	120206	1589	68737	23030	88345	144935	150648	2543	325845	157740	88538	146160	106789	75731	133149	554218	141982	695750	4208	34703	219862	299637	42131	63231	361504	97164	173757	235688	168842	259933	111565	238385	106417	93035	144508	127365	51535	285636	44446	87267	105506	60948	269401	119220	237306	199243	88175	350817	65930	117578	143830	51578	272187	103923	150167	134248	316518	143526	107930	60779	439729	53642	126840	33971	3654	209326	103532	146264	65812	130522	342205	74068	265382	32429	90327	38136	119188	42275	150176	287559	182931	195329	177834	80443	113726	184609	98929	214909	227604	38569	104796	70638	81514	111946	133445	170849	89860	206116	54170	46584	163705	134478	61153	39724	100438	256640	78479	57078	96755	224592	52612	174326	83127	0	0
TJ1:bin_000303	87295	4449	3363	1488	2683	6171	617169	5161	97861	8736	8677	6821	10073	1429099	7350	5990	4576	4446	2792	18607	6143	4309	2088	3457	3751	0	57403	0	9290	0	29155	1693	277	112	3308	219834	300	786	719	782	1000	225	76913	3434	381999	0	3398	2607	17912	5028	723	228139	425649	196876	21767	55018	743	54255	25883	37900	71761	1061	16086	725	2398	1437	1761	62291	41035	313622	39718	140	1735	464528	169307	46077	20547	822	8294	801	535	6488	21185	38095	245	886	125703	924	1207	300	90	1410	357	24944	300	32793	10762	2259	300	26484	1227	974	2102	1024	449	29442	1082	34441	1913	0	1624	41787	0	11116	37323	94307	480	2009	367451	21644	4030	29071	952	300	2037	1837	9957	1252	1153	2734	1070	99352	35416	0	141630	7866	4008	608	688	982	809	150	0	16000	1244	0	556
TJ1:bin_000304	25510	205507	53697	48835	116581	120984	1239467	358374	808975	8140	209249	23294	10309	1358643	1113083	34946	15019	19825	214892	48631	56717	82463	2316	44320	659370	0	2617	0	9032	0	50085	1095	5745	299	1867	11682	23040	11534	77555	29539	79306	1682	3105	109153	53932	52339	600	97758	40391	281537	847	10370	71364	810563	336961	7585	11464	206354	25595	71206	21980	245338	465060	66795	197864	22580	40796	147776	36872	15112	29705	22228	30196	19786	6023	4267	26708	170572	130044	44399	46986	8314	38754	52437	34343	99876	78625	44709	48955	17698	8769	8944	180391	35017	120336	5003	955	54298	1565	86623	31231	240604	7728	214793	3407	80731	20444	2214	30806	1809	7585	127987	3088	76085	118382	72795	3555	360098	28593	78073	26534	115412	165331	22829	49897	274403	100327	15583	13446	175135	12283	6913	238542	21703	13218	6500	8882	4365	9106	37469	114758	19474	6874	7818	4972	282	0
TJ1:bin_000305	42329	86130	92449	136165	26894	145128	1564829	1989748	99332	61923	34465	26976	223261	599757	259998	116598	55173	29601	10034	39223	2379964	141263	2333770	28766	12693	0	329	0	191	0	34068	0	5541	0	11451	939	1095	76323	6134	0	12794	307336	1086	109552	26170	2397	845	3162	530	673	893	1889	5567	8907	565	71436	600637	1864	209512	1164	403316	12236	5174	451548	8152	256312	62681	166893	6193	72614	37010	255283	24309	106	4922	12172	38411	29891	3429	5659	7138	560868	335030	211668	3901	2612	161513	447959	20587	4645	50314	32890	8702	301897	5089	1119	550	16145	444373	409389	2742	70180	1204	113703	146636	306101	6422	851	519093	427	6746	259878	312717	16916	30497	1140	64326	16846	56129	11001	307525	104280	2754	360	22867	211587	3427	32944	108849	214057	14102	74848	371204	421920	17118	105885	68561	146266	208940	299916	13423	9179	1713	2231	912	2159	0
TJ1:bin_000306	1172816	1753169	1178200	1661062	970564	1565934	1761105	1222221	718037	663974	1167887	754385	1531132	1538121	1731847	1998875	1499683	483195	474366	1205417	1716201	1751117	1354270	300609	448233	0	209672	0	1166426	0	33478	24825	128523	49126	151790	1178287	3470	127883	3273	256325	3943	145986	195498	110161	894346	38240	1296799	410951	154981	328566	1892190	1431519	484709	1632269	676050	215378	316863	1769701	156740	252561	316562	101637	120551	124913	53169	639851	50672	430574	346250	573422	36513	161598	53392	1798412	45065	180592	75247	60833	35104	110434	86642	599552	47922	48040	15989	62462	197286	66515	222483	69704	4890	200425	117376	206852	75463	508936	133891	50622	21871	240953	179343	24334	119564	114887	100885	98745	125189	1065538	157638	1373	322415	61553	113853	121729	56316	67333	81062	296658	171517	121057	73647	100248	108294	36685	56001	310789	6386	73443	516706	61128	71925	135995	91926	244863	485653	166282	125911	189994	35127	68590	56703	38543	5150	188953	115878	201	13658
TJ1:bin_000307	1206018	1505942	989137	1462736	83602	1198339	1636340	804587	285741	564752	1382043	403947	1488169	991094	682414	1785377	1117030	231389	24650	184190	1476639	776366	1662621	254675	207308	0	847101	0	351509	0	186776	2558	18793	2454	358213	110714	23916	147778	32152	211317	161910	88476	173725	168794	238734	30869	237768	924281	64728	134402	136623	99897	159233	235415	237868	96005	179258	591174	292795	137529	79884	100047	20053	576163	111189	72733	174910	181396	151107	200911	26327	137173	60676	534016	208683	314205	154772	406236	19916	175631	12789	170693	104891	220091	31349	34786	318485	276375	135184	30616	27667	171942	17083	95277	85839	488092	28360	53821	154181	201098	46769	48347	18954	221752	240831	35337	40967	807619	364732	2498	352887	112742	267744	41510	208289	360593	136555	23832	81774	298295	78982	72708	2778	4149	44722	67078	16875	112050	360941	142779	83537	93374	406120	493936	233560	280203	245048	532751	116541	135270	69841	39784	2703	154682	164581	1494	78
TJ1:bin_000309	91023	65627	42987	1356934	27132	75324	992839	220133	33965	31459	1517684	27903	310572	848426	44810	1569853	33352	17593	16738	32951	191551	395876	1706213	24087	19688	0	4429	0	283	0	11782	2603	6798	3736	76650	11668	2379	10795	5139	3095	4208	354088	41971	112915	21817	5534	3346	75722	60256	113436	8022	7200	6469	13169	117144	145373	157428	6239	45039	10171	59523	6439	6825	442808	9231	45395	8070	309056	84121	336758	4554	10403	7066	15493	599798	342075	9826	46879	5006	47544	5378	59669	9153	28695	6805	14210	116187	14117	8886	4337	5384	7365	10344	67563	9285	80363	325112	6178	37185	119475	23392	5068	34340	8452	278198	3966	9875	1997	11160	1011	200023	10499	245679	9635	31027	7367	50548	8809	8515	9680	237637	4840	4631	3008	6362	8256	4127	5966	14228	3804	5732	167510	477561	96562	468481	257991	19972	418510	6464	55228	5317	4357	4788	8018	130474	300	631
TJ1:bin_000311	57786	1117183	297776	709061	18468	366789	1019814	1137010	57250	24262	811376	57626	1150733	352804	418313	766909	98699	14987	8808	100477	543416	368993	1406867	13536	14030	0	3805	0	2855	0	5004	1880	3280	2082	5110	26250	2748	40338	3018	1971	15623	490474	5128	66656	27439	2498	7209	17716	8304	6652	1431	16896	14209	92130	5857	12910	228611	10863	56488	5111	50149	18560	26763	150220	65505	189636	39600	40434	41809	445115	23204	92939	10805	3676	39153	17452	125104	38206	3887	30850	5587	195289	56276	37636	3279	85951	169607	45407	32109	3199	20448	26502	9777	61244	25470	7227	1481	6180	48593	24751	10595	39916	8827	35439	182695	10494	10523	5423	35903	390	215903	17276	61340	12636	82778	8573	73817	19356	11525	124100	126111	11081	5963	723	11675	31682	8508	24791	22352	7658	2957	33887	74682	241605	78157	16118	67192	103931	68284	48593	27980	6549	1418	65251	4222	0	323
TJ1:bin_000313	1011666	1867311	2253987	1193763	217766	2369194	1884166	1907902	1108735	513584	2071049	625688	2113024	1126687	484878	2641228	736485	335129	172060	311255	2973698	1904589	2390004	186958	119703	0	94622	0	81133	0	281584	18705	67402	30339	359394	120626	46883	166555	48344	121285	27926	424893	453389	332264	442774	68081	257295	167272	107536	199582	89669	272309	473101	308664	322266	203229	522063	349678	310172	251869	253407	107675	131786	671295	120951	103759	239692	463008	126252	410545	125868	364966	112032	110244	153872	160853	244664	314785	73401	139753	70018	414697	289666	251274	107404	90658	272736	133338	63072	63510	138796	186487	70267	379224	142038	499763	18690	52692	247614	237493	160751	65727	116701	196783	837624	167652	103611	181268	727201	28561	217164	136139	477052	91661	182323	161245	312672	77596	316897	165629	321321	195150	51993	54814	53146	137095	76210	115491	115492	176232	97144	293704	362875	326945	245762	375402	246688	491999	164947	196890	139150	81700	41954	126463	240913	2063	1945
TJ1:bin_000318	24317	152557	16552	49406	14177	67288	780354	596472	6222	14042	49551	13137	39696	72573	33053	53653	26231	5701	2260	20144	118178	20279	1539686	12700	12374	0	2897	0	6284	0	39450	653	1862	1094	36321	19014	704	5841	3014	2931	8300	105931	8703	64630	39436	3105	3400	5529	5330	3456	3464	46309	10492	18288	7570	183250	171772	13020	114113	8518	14753	6734	8262	37698	13878	21754	41441	73378	7321	374552	4167	42059	9201	3449	5469	11442	109588	12140	2767	11446	2320	107696	67705	7611	4067	18635	81914	89622	8753	2826	2666	16811	6128	35996	5358	8110	6100	5607	55482	91992	8513	4759	4682	33632	409543	5860	6621	7328	64963	717	22047	32571	274248	8542	22247	5274	93013	5080	5025	4191	74465	26288	2591	877	4358	1901	3228	10218	37037	13098	5948	84864	204632	120606	41450	161751	59878	73765	14158	37646	8159	3340	1790	5130	2632	0	0
